CustomerID,FirstName,LastName,DOB,Province,MonthlyIncome,EmploymentStatus,CreditScore
CUST000075,Amy,Adkins,04-24-1958,KwaZulu-Natal,33063.41,Unemployed,582.0
CUST000076,Breanna,Shaw,30/06/1996,Western Cape,37217.46,Self-Employed,787.0
CUST000077,Eric,Yu,31 May 1959,North West,11990.79,Self-Employed,613.0
CUST000078,Jacob,Larson,12-23-1987,North West,32172.47,Unemployed,660.0
CUST000079,Joe,Wilson,04-20-1998,Free State,14212.8,Employed,848.0
CUST000080,John,Wheeler,18/04/1985,Eastern Cape,43477.99,Unemployed,402.0
CUST000081,Robert,Silva,08-29-1980,Eastern Cape,28832.54,Self-Employed,580.0
CUST000082,Sarah,Harris,1989-12-11,Northern Cape,80499.21,Retired,405.0
CUST000083,John,Foster,10-23-1987,North West,31926.83,Unemployed,789.0
CUST000084,Kevin,Stewart,1991-08-28,Mpumalanga,50950.2,Self-Employed,452.0
CUST000085,Charles,Ellis,06-29-2003,Western Cape,14035.35,Self-Employed,835.0
CUST000086,Wendy,Jones,19 Oct 1965,Free State,84197.52,Employed,401.0
CUST000087,Joseph,Mahoney,06/11/1997,Eastern Cape,11035.59,Employed,
CUST000088,Natasha,Wood,20 Feb 1963,North West,23133.84,Retired,372.0
CUST000089,Martha,Warner,12-04-1984,Eastern Cape,48337.27,Unemployed,445.0
CUST000090,Vanessa,Valdez,11/12/1955,Free State,70851.34,Retired,427.0
CUST000091,Lisa,Evans,05-30-1987,Mpumalanga,44788.01,Employed,340.0
CUST000092,Sheila,Taylor,02-08-1961,,22928.42,Employed,575.0
CUST000093,Daniel,Tran,21/08/1968,North West,40099.47,Retired,803.0
CUST000094,Cassandra,Robbins,04 May 1965,Limpopo,30345.19,Self-Employed,637.0
CUST000095,Cynthia,Baker,06 Jan 1979,Free State,36736.41,Employed,765.0
CUST000096,Rebecca,Mathis,12-31-1959,Limpopo,66690.11,Employed,773.0
CUST000097,Rodney,Hill,27/09/1955,Northern Cape,65393.67,Employed,508.0
CUST000098,Kellie,Walsh,21/02/1968,Free State,60709.13,Self-Employed,462.0
CUST000099,Joyce,Arnold,1976-02-05,Northern Cape,22588.4,Employed,772.0
CUST000100,Alec,Jones,15/12/1997,North West,27994.86,Retired,794.0
CUST000101,Rebecca,Gardner,18/08/1995,North West,35378.67,Self-Employed,371.0
CUST000102,Brandi,Hernandez,07 Sep 1961,Limpopo,45372.88,Unemployed,605.0
CUST000103,Kyle,Nolan,12 Oct 1993,KwaZulu-Natal,43489.48,Retired,766.0
CUST000104,Michelle,Nolan,26/08/1965,Eastern Cape,23301.78,Employed,625.0
CUST000105,John,Garcia,04 Jan 1993,Mpumalanga,68287.69,Self-Employed,807.0
CUST000106,Nicole,Russell,11/05/1985,Northern Cape,31225.57,Retired,402.0
CUST000107,Eric,Spears,25 Jan 1997,Gauteng,37503.28,Self-Employed,376.0
CUST000108,Theresa,Cochran,11-15-1997,Limpopo,36497.41,Unemployed,846.0
CUST000109,Angel,Doyle,07-06-1971,North West,7389.88,Unemployed,532.0
CUST000110,Sarah,Pham,15 Jan 1997,Western Cape,61163.21,Self-Employed,606.0
CUST000111,Lisa,Adams,1993-05-12,Limpopo,28116.11,Self-Employed,550.0
CUST000112,Daniel,Brennan,11/10/1996,KwaZulu-Natal,53564.09,Self-Employed,809.0
CUST000113,Jeffrey,Velasquez,30/08/1977,Eastern Cape,24945.18,Employed,776.0
CUST000114,Kevin,Pope,29/06/1966,Western Cape,32318.03,Retired,556.0
CUST000115,Andrew,Lee,04-29-1971,Eastern Cape,73193.5,Retired,667.0
CUST000116,Michelle,Rasmussen,12-18-1968,Gauteng,57487.5,Employed,808.0
CUST000117,Darlene,Ross,08-30-2002,Eastern Cape,32861.84,Unemployed,440.0
CUST000118,Amanda,Crosby,1961-02-07,Free State,7185.84,Self-Employed,392.0
CUST000119,Tara,White,10-08-2001,Mpumalanga,15138.86,Unemployed,843.0
CUST000120,Joseph,Rodriguez,06-04-1976,KwaZulu-Natal,70887.53,Unemployed,646.0
CUST000121,Jessica,Edwards,31 Aug 1984,Western Cape,82303.27,Retired,674.0
CUST000122,William,Cruz,30 Mar 1983,Gauteng,14448.89,Unemployed,690.0
CUST000123,Jonathan,Fletcher,08-25-1955,Western Cape,42453.89,Unemployed,526.0
CUST000124,Sara,Ryan,06 Feb 1990,Free State,13892.41,Employed,611.0
CUST000125,Judy,Lambert,1973-01-18,Western Cape,47772.5,Unemployed,729.0
CUST000126,Chad,Beck,02/06/1971,Mpumalanga,71612.29,Unemployed,333.0
CUST000127,Lee,Charles,11/02/1990,North West,23507.07,Unemployed,667.0
CUST000128,Kevin,Parker,03-03-1975,Eastern Cape,80895.37,Employed,517.0
CUST000129,Richard,Phillips,1961-09-04,Gauteng,24107.3,Self-Employed,370.0
CUST000130,Robert,Bentley,29/01/1988,Eastern Cape,23256.39,Employed,583.0
CUST000131,Raven,Gilbert,05/01/1970,KwaZulu-Natal,68780.36,Employed,
CUST000132,Amy,Smith,04/05/1969,,25862.08,Retired,838.0
CUST000133,Russell,Carpenter,1986-12-29,North West,33644.14,Retired,815.0
CUST000134,Steven,Ramos,1965-10-28,Northern Cape,56288.93,Retired,711.0
CUST000135,Thomas,Santana,1993-10-10,North West,40206.77,Unemployed,451.0
CUST000136,Gene,Miller,04-22-1980,Northern Cape,35162.8,Unemployed,764.0
CUST000137,Cynthia,Rogers,07 Nov 1994,Western Cape,13710.33,Self-Employed,740.0
CUST000138,Karen,Chambers,08/05/1966,Mpumalanga,41006.66,Employed,620.0
CUST000139,James,Johnson,04-27-1967,Limpopo,59789.09,Employed,387.0
CUST000140,Thomas,Atkinson,1959-01-23,Limpopo,49287.84,Unemployed,425.0
CUST000141,Robert,Soto,24 Nov 1964,Gauteng,52833.01,Self-Employed,458.0
CUST000142,Heather,Snyder,12/04/1967,Western Cape,49279.37,Unemployed,531.0
CUST000143,Diana,Smith,1991-08-12,,26498.27,Unemployed,
CUST000144,Kayla,Rodriguez,22/12/1975,Mpumalanga,64148.01,Employed,843.0
CUST000145,Gregory,Rubio,05 Jun 1980,North West,34289.27,Employed,353.0
CUST000146,Brent,Wright,1996-04-15,Western Cape,57786.06,Retired,724.0
CUST000147,Stephen,Solis,1987-08-11,Limpopo,27301.34,Retired,839.0
CUST000148,Vanessa,Larson,2001-03-03,Eastern Cape,,Unemployed,516.0
CUST000149,Patricia,Salazar,02-03-1990,Free State,5122.26,Self-Employed,432.0
CUST000150,William,Rivas,12/11/1981,Northern Cape,58277.88,Retired,343.0
CUST000151,Phyllis,Manning,08 May 1978,Western Cape,50848.61,Retired,596.0
CUST000152,Jonathon,Wright,1986-03-05,Limpopo,80782.95,Unemployed,390.0
CUST000153,Katie,Boyd,1985-08-26,Eastern Cape,36736.21,Unemployed,647.0
CUST000154,Joshua,Jones,13/04/1969,Western Cape,13679.14,Unemployed,659.0
CUST000155,Joseph,Flores,29/06/1981,Eastern Cape,25105.44,Self-Employed,377.0
CUST000156,Devon,Hall,16 Nov 1988,North West,65670.11,Unemployed,623.0
CUST000157,Jasmine,Brown,1975-02-18,North West,28877.05,Employed,660.0
CUST000158,Amy,Perry,06-30-1965,North West,9079.65,Employed,392.0
CUST000159,Robert,Stein,09 Aug 1983,North West,81315.63,Employed,760.0
CUST000160,Heather,Gates,25/04/1992,Limpopo,44860.07,Retired,405.0
CUST000161,Omar,Smith,06-14-1972,Western Cape,18390.99,Retired,749.0
CUST000162,Karen,Castaneda,01/05/2001,Limpopo,27272.93,Unemployed,353.0
CUST000163,Robert,Adkins,10-12-1981,Western Cape,49416.04,Unemployed,453.0
CUST000164,Carrie,Walker,05/02/1966,Limpopo,57312.4,Self-Employed,386.0
CUST000165,Ryan,Johnson,14 Sep 1971,Limpopo,58444.37,Employed,733.0
CUST000166,Erin,Powell,1963-06-28,Limpopo,81069.13,Retired,496.0
CUST000167,Tanner,Anderson,08/06/1985,KwaZulu-Natal,72476.49,Employed,644.0
CUST000168,Anthony,Long,28/08/1982,Mpumalanga,19058.1,Self-Employed,748.0
CUST000169,Anthony,Day,01-30-1962,Eastern Cape,53652.93,Retired,539.0
CUST000170,Steven,Williams,10-06-1973,North West,20118.3,Retired,772.0
CUST000171,Jason,Murphy,08 Feb 1992,Northern Cape,82284.59,Self-Employed,556.0
CUST000172,Nicholas,Walton,02 Jul 1995,Limpopo,12758.47,Employed,591.0
CUST000173,Johnny,Miller,30/06/1956,Free State,45824.9,Employed,527.0
CUST000174,Amber,Cooke,05-13-1972,Gauteng,36414.54,Retired,383.0
CUST000175,Debra,Harrington,1986-11-07,Limpopo,72053.69,Self-Employed,440.0
CUST000176,Karen,Herring,19 Feb 1965,KwaZulu-Natal,42263.37,Employed,319.0
CUST000177,Andrew,Hernandez,16/08/1961,Northern Cape,53514.85,Unemployed,543.0
CUST000178,Elizabeth,Elliott,1966-01-11,Eastern Cape,68408.88,Employed,811.0
CUST000179,Holly,Wang,1963-08-15,Northern Cape,62342.82,Employed,661.0
CUST000180,Catherine,Adkins,23 Jan 1961,KwaZulu-Natal,11391.92,Employed,838.0
CUST000181,Lori,Oconnell,1960-10-03,Mpumalanga,8004.52,Unemployed,559.0
CUST000182,Anthony,Collins,01-30-1988,Western Cape,63501.75,Unemployed,436.0
CUST000183,Susan,Sanders,11-20-1989,KwaZulu-Natal,59616.95,Retired,486.0
CUST000184,Charles,Vaughn,1985-09-03,North West,20728.07,Employed,623.0
CUST000185,Curtis,Barton,19 May 1996,Northern Cape,7447.97,Unemployed,665.0
CUST000186,Caroline,Martinez,2002-10-16,Limpopo,68847.06,Retired,750.0
CUST000187,Kimberly,Reed,17 Feb 1976,Limpopo,44444.36,Unemployed,384.0
CUST000188,Mitchell,Hunter,1971-12-12,Mpumalanga,70698.47,Unemployed,405.0
CUST000189,Melissa,Short,08-19-1960,Free State,62271.86,Retired,659.0
CUST000190,Susan,Reid,05-06-1995,Mpumalanga,83392.2,Employed,715.0
CUST000191,Jasmine,Graham,15/10/1990,Gauteng,53409.62,Employed,429.0
CUST000192,Tammy,Nelson,05-12-1994,Limpopo,50163.19,Retired,679.0
CUST000193,Amanda,Webb,1976-06-22,KwaZulu-Natal,36541.74,Self-Employed,
CUST000194,Jessica,Adams,13/06/1996,North West,78040.17,Unemployed,756.0
CUST000195,Mariah,Miller,11-19-1997,North West,15426.14,Self-Employed,755.0
CUST000196,John,Marshall,11-11-1984,Limpopo,48774.77,Unemployed,461.0
CUST000197,Nicholas,Johnson,30/05/1996,Limpopo,14269.68,Self-Employed,542.0
CUST000198,Hunter,Lewis,1993-11-11,Limpopo,34197.35,Self-Employed,388.0
CUST000199,Matthew,Beard,23 Mar 1989,North West,66417.75,Employed,428.0
CUST000200,Joshua,Smith,2001-01-27,North West,46147.48,Self-Employed,432.0
CUST000201,Christopher,Cortez,1979-01-07,Western Cape,28982.03,Self-Employed,654.0
CUST000202,Katherine,Vaughn,07-27-1986,Western Cape,55622.1,Self-Employed,610.0
CUST000203,Travis,Mcguire,1960-01-13,Northern Cape,52140.58,Self-Employed,645.0
CUST000204,Jeffrey,Holt,1970-04-07,Gauteng,80858.02,Unemployed,515.0
CUST000205,Bonnie,Kennedy,19 Jan 1981,Gauteng,54986.7,Unemployed,794.0
CUST000206,Ronald,Reese,12 Jun 1971,Free State,59933.39,Retired,795.0
CUST000207,Jacqueline,Nelson,08-20-1967,KwaZulu-Natal,62328.21,Unemployed,708.0
CUST000208,David,Lee,04-22-1961,Northern Cape,30188.83,Unemployed,760.0
CUST000209,Amanda,Gill,1964-06-15,Gauteng,35424.06,Self-Employed,463.0
CUST000210,Javier,Washington,05-07-1990,Eastern Cape,44610.38,Retired,615.0
CUST000211,Tiffany,Warren,1969-02-24,Mpumalanga,82318.27,Unemployed,349.0
CUST000212,Craig,Lee,27 Jun 1966,North West,5158.28,Self-Employed,570.0
CUST000213,Harry,Smith,16 Mar 1981,Limpopo,8618.19,Unemployed,595.0
CUST000214,Joshua,Mccann,16 Feb 1982,Northern Cape,84121.8,Employed,431.0
CUST000215,Heidi,Martinez,02 Apr 1997,Limpopo,31796.37,Self-Employed,503.0
CUST000216,Travis,Salas,14 Feb 1983,Northern Cape,7632.57,Retired,831.0
CUST000217,Taylor,Alexander,01/06/1964,Limpopo,30141.67,Unemployed,644.0
CUST000218,Brett,Everett,01 Jul 1978,Free State,5839.27,Employed,726.0
CUST000219,Lynn,Morales,1959-02-14,North West,57275.07,Self-Employed,352.0
CUST000220,Crystal,Brown,23/09/1962,Northern Cape,54388.73,Self-Employed,548.0
CUST000221,Anna,Torres,2003-04-11,,29752.24,Self-Employed,720.0
CUST000222,David,Duran,01 Sep 1984,Gauteng,46254.0,Retired,838.0
CUST000223,Krystal,Perez,25/08/1980,North West,32057.32,Unemployed,795.0
CUST000224,Shannon,Ramos,08/11/1996,Free State,22601.8,Unemployed,595.0
CUST000225,Veronica,Torres,17 May 1985,Limpopo,49619.25,Unemployed,594.0
CUST000226,Chelsea,Singh,19 Jan 2001,Mpumalanga,81346.01,Unemployed,343.0
CUST000227,Jared,Clark,1987-04-08,Limpopo,57305.75,Self-Employed,506.0
CUST000228,Eric,Thompson,03-04-1959,Northern Cape,15550.47,Self-Employed,548.0
CUST000229,Aaron,Hayes,26/01/1984,Eastern Cape,37770.76,Employed,
CUST000230,Kelly,Hall,02/07/1989,Mpumalanga,75392.12,Self-Employed,594.0
CUST000231,Jacqueline,Gibson,1988-07-24,Western Cape,23193.73,Employed,479.0
CUST000232,Sandra,French,27/07/1985,Gauteng,36458.06,Unemployed,
CUST000233,Donna,Peck,1975-12-22,Limpopo,84122.51,Retired,437.0
CUST000234,Amy,Holland,04 Mar 1999,Free State,13568.06,Retired,563.0
CUST000235,Margaret,Jones,1963-07-13,Limpopo,50206.39,Self-Employed,715.0
CUST000236,Kyle,Curry,11-21-1982,Western Cape,12178.5,Retired,631.0
CUST000237,Keith,Martinez,1988-08-15,Free State,40462.21,Unemployed,609.0
CUST000238,Holly,Bender,1979-08-04,Free State,60267.87,Employed,776.0
CUST000239,Troy,Miller,24 Jun 1957,Northern Cape,75968.01,Employed,602.0
CUST000240,Ryan,Morris,02/08/1967,Eastern Cape,42993.64,Unemployed,725.0
CUST000241,Christopher,Hayden,11 Sep 1995,Northern Cape,70961.08,Employed,838.0
CUST000242,Barbara,Sampson,07-19-2003,Western Cape,13532.81,Self-Employed,849.0
CUST000243,Emily,Adams,07-01-1957,Northern Cape,59263.77,Retired,393.0
CUST000244,Katelyn,Ruiz,03 Nov 1986,Gauteng,45816.45,Employed,773.0
CUST000245,Sabrina,White,08-30-1983,Gauteng,70224.48,Employed,346.0
CUST000246,Cynthia,Vasquez,1959-12-12,Northern Cape,79733.92,Retired,332.0
CUST000247,Michael,Cook,25/09/1987,KwaZulu-Natal,83255.83,Retired,683.0
CUST000248,Mia,Rivera,11 Nov 1988,North West,77494.77,Self-Employed,656.0
CUST000249,Keith,Landry,14 Aug 1994,Northern Cape,83287.31,Employed,605.0
CUST000250,Andrea,Gibson,31 Aug 1970,Northern Cape,22987.96,Self-Employed,582.0
CUST000251,Marcus,Cordova,1974-12-19,Gauteng,38248.87,Employed,546.0
CUST000252,Xavier,Travis,1987-02-19,Gauteng,58597.9,Self-Employed,345.0
CUST000253,Amy,Gutierrez,27/07/1964,Northern Cape,74030.28,Unemployed,539.0
CUST000254,Michael,Avila,08-02-1985,Limpopo,75038.79,Self-Employed,723.0
CUST000255,Kathleen,Harris,1981-12-05,Northern Cape,75316.97,Retired,807.0
CUST000256,Sara,Kim,01-30-1989,Mpumalanga,30158.12,Self-Employed,607.0
CUST000257,David,Dudley,16 Oct 1984,Eastern Cape,28709.28,Retired,359.0
CUST000258,John,Moore,03 Jan 1982,Northern Cape,35767.73,Unemployed,380.0
CUST000259,Andrea,Davis,03-13-2003,Western Cape,71267.21,Retired,340.0
CUST000260,Robin,Murray,16/03/1961,Northern Cape,21315.57,Unemployed,315.0
CUST000261,Marilyn,Jimenez,18/12/1989,Western Cape,65223.62,Self-Employed,706.0
CUST000262,William,Hill,08-20-1995,Free State,47458.84,Unemployed,668.0
CUST000263,Tina,Sanchez,10 Jan 1982,North West,83496.14,Unemployed,508.0
CUST000264,Patrick,Weeks,18 Dec 1979,Gauteng,22312.56,Unemployed,727.0
CUST000265,Natasha,Shields,29/10/1968,Limpopo,50368.06,Unemployed,563.0
CUST000266,Kristy,Perry,30 May 2000,North West,63488.17,Self-Employed,800.0
CUST000267,William,Hoover,1969-02-21,Northern Cape,72659.14,Employed,306.0
CUST000268,Kenneth,Matthews,07/07/2003,Western Cape,5235.89,Unemployed,361.0
CUST000269,Tracy,Hernandez,02 Jun 1981,,47343.11,Employed,842.0
CUST000270,Michael,Arnold,08-26-1981,Gauteng,60677.66,Self-Employed,409.0
CUST000271,Stanley,Morris,15/08/1964,Eastern Cape,46879.71,Unemployed,706.0
CUST000272,Heidi,Armstrong,11 Oct 1966,North West,84213.76,Employed,332.0
CUST000273,Kimberly,Williams,25 Apr 1991,Mpumalanga,,Self-Employed,384.0
CUST000274,Janet,Shepherd,05 Feb 1974,Limpopo,73565.81,Employed,535.0
CUST000275,Elizabeth,Hoover,24 Aug 2002,Free State,10485.02,Employed,483.0
CUST000276,Tyler,Johnson,09-05-1979,Gauteng,51756.41,Retired,378.0
CUST000277,Brittany,Kane,12/07/1997,Mpumalanga,48015.28,Self-Employed,380.0
CUST000278,Scott,Fox,07-01-1977,Gauteng,23187.59,Retired,
CUST000279,Jennifer,Ortiz,12-30-1986,North West,33142.8,Retired,490.0
CUST000280,Eric,Harrison,02 Feb 2002,Western Cape,28278.05,Employed,384.0
CUST000281,Matthew,Schwartz,04 Oct 1986,KwaZulu-Natal,29992.6,Employed,615.0
CUST000282,Melissa,Phelps,10-24-1996,Western Cape,19585.04,Retired,
CUST000283,Norman,Stewart,01-24-1990,Northern Cape,52642.53,Retired,312.0
CUST000284,Katherine,Brennan,16 Apr 1957,Western Cape,49542.69,Self-Employed,833.0
CUST000285,Casey,Welch,09 Oct 1999,KwaZulu-Natal,28741.07,Employed,471.0
CUST000286,Wendy,Francis,25 May 1976,Free State,10692.17,Self-Employed,807.0
CUST000287,Corey,Schultz,14/06/1997,North West,29024.97,Unemployed,689.0
CUST000288,Scott,Benson,12-06-1998,North West,70145.78,Self-Employed,607.0
CUST000289,Brandon,Flynn,25/08/1969,North West,82148.26,Unemployed,802.0
CUST000290,Nicholas,Thomas,23/01/1981,Limpopo,70227.81,Employed,504.0
CUST000291,Ashlee,Sparks,23/09/1963,,63040.68,Self-Employed,748.0
CUST000292,Christian,Pitts,1985-04-24,Mpumalanga,15703.92,Unemployed,457.0
CUST000293,John,Durham,09 Jun 1962,Western Cape,52633.68,Retired,337.0
CUST000294,Steven,King,10-28-1967,Northern Cape,78109.3,Self-Employed,663.0
CUST000295,Albert,Ballard,1998-10-29,Mpumalanga,31193.53,Employed,310.0
CUST000296,Erica,Moore,08/10/1976,Northern Cape,49418.47,Self-Employed,756.0
CUST000297,Michael,Matthews,27 Mar 1986,Northern Cape,84815.07,Unemployed,725.0
CUST000298,Roger,Wright,1996-02-21,Western Cape,63277.13,Unemployed,766.0
CUST000299,James,Cruz,05 Oct 1978,Limpopo,39772.36,Unemployed,368.0
CUST000300,John,Armstrong,1983-02-27,Gauteng,56661.58,Self-Employed,549.0
CUST000301,Victoria,Phillips,05/07/2002,Limpopo,81656.24,Retired,488.0
CUST000302,Dominique,Hill,24 Sep 1982,,53935.61,Retired,
CUST000303,Gina,Garner,02/12/1957,Eastern Cape,61152.66,Employed,849.0
CUST000304,Catherine,Crawford,12-19-1998,Eastern Cape,25619.45,Unemployed,697.0
CUST000305,Justin,Lindsey,1984-09-15,Limpopo,41357.78,Unemployed,386.0
CUST000306,Michael,Fields,05-15-1985,Western Cape,13914.39,Self-Employed,823.0
CUST000307,Erica,Le,17/03/1987,Mpumalanga,43676.95,Self-Employed,470.0
CUST000308,Mary,Fuller,06/12/1998,KwaZulu-Natal,40805.58,Unemployed,309.0
CUST000309,Debbie,Parker,22/09/1976,Mpumalanga,45187.76,Retired,725.0
CUST000310,Bethany,Oconnor,23 Nov 1959,North West,50014.52,Self-Employed,599.0
CUST000311,Kenneth,Burgess,31/12/1963,Northern Cape,67349.59,Retired,823.0
CUST000312,David,Ryan,2002-03-14,Free State,70774.27,Employed,751.0
CUST000313,Alyssa,Mcintyre,06 Jun 1995,Western Cape,57120.57,Employed,760.0
CUST000314,Jonathan,Summers,1978-09-11,North West,13949.58,Self-Employed,659.0
CUST000315,Lindsay,Francis,29 Oct 1971,KwaZulu-Natal,67680.37,Employed,659.0
CUST000316,Darius,Mccarty,28/04/1962,Limpopo,28057.09,Employed,438.0
CUST000317,Tammy,Dalton,30 Apr 1990,Gauteng,74297.33,Self-Employed,555.0
CUST000318,Tina,Coffey,03-10-1994,Eastern Cape,58936.88,Unemployed,724.0
CUST000319,Michael,Gibbs,1956-03-27,Western Cape,64859.09,Unemployed,765.0
CUST000320,Amanda,Gibson,11-12-1987,Gauteng,72696.97,Retired,666.0
CUST000321,Emily,Richards,16 Jan 1995,Eastern Cape,70900.24,Unemployed,590.0
CUST000322,Shelby,Rodriguez,16/10/1966,North West,76479.45,Employed,401.0
CUST000323,Angel,Henson,07 Jul 1982,Gauteng,73540.95,Employed,738.0
